Comment,Designator,Footprint,LCSC
"8,4 (COLN)",SW_52,SW_CAP_IBM_B,
"4,2 (C)",SW_57,SW_CAP_IBM_B,
CA_TestPoint,COL_A_TP18,TestPoint_Pad_D1.0mm,
MountingHole,H5,Generic-Mounthole_4.6mm,
"3,8 (02)",SW_15,SW_CAP_IBM_B,
"C,7 (P04)",SW_75,SW_CAP_IBM_B,
MountingHole,H10,Generic-Mounthole_4.6mm,
R2_TestPoint,ROW_2_TP2,TestPoint_Pad_D1.0mm,
"7,4 (K)",SW_50,SW_CAP_IBM_B,
"7,7 (00)",SW_23,SW_CAP_IBM_B,
"1,2 (F9)",SW_09,SW_CAP_IBM_B,
"7,6 (O)",SW_37,SW_CAP_IBM_B,
"5,5 (F)",SW_46,SW_CAP_IBM_B,
C7_TestPoint,COL_7_TP15,TestPoint_Pad_D1.0mm,
MountingHole,H3,Generic-Mounthole_4.6mm,
MountingHole,H7,Generic-Mounthole_4.6mm,
"A,7 (P05)",SW_76,SW_CAP_IBM_B,
"2,7 (01)",SW_14,SW_CAP_IBM_B,
"4,4 (D)",SW_45,SW_CAP_IBM_B,
C9_TestPoint,COL_9_TP17,TestPoint_Pad_D1.0mm,
"B,8 (P02)",SW_73,SW_CAP_IBM_B,
"6,6 (U)",SW_35,SW_CAP_IBM_B,
"8,3 (QOTE)",SW_53,SW_CAP_IBM_B,
"1,3 (F7)",SW_07,SW_CAP_IBM_B,
CONN_CAP_IBM_F,J2,BEAMSPRING-CARD-EDGE,
"B,1 (P23)",SW_94,SW_CAP_IBM_B,
"8,5 (P)",SW_38,SW_CAP_IBM_B,
"B,7 (P06)",SW_77,SW_CAP_IBM_B,
"1,4 (F5)",SW_05,SW_CAP_IBM_B,
C2_TestPoint,COL_2_TP10,TestPoint_Pad_D1.0mm,
"6,1 (M)",SW_61,SW_CAP_IBM_B,
"C,5 (P08)",SW_79,SW_CAP_IBM_B,
"1,1 (F11)",SW_11,SW_CAP_IBM_B,
"B,3 (P15)",SW_86,SW_CAP_IBM_B,
" B,5 (P11)",SW_82,SW_CAP_IBM_B,
"C,2 (P20)",SW_91,SW_CAP_IBM_B,
"3,2 (Z)",SW_55,SW_CAP_IBM_B,
MountingHole,H1,Generic-Mounthole_4.6mm,
"9,4 (TEST)",SW_71,CAL_CAP_IBM_B,
"6,8 (07)",SW_20,SW_CAP_IBM_B,
"2,8 (ESC)",SW_13,SW_CAP_IBM_B,
"9,5 (ENT)",SW_41,SW_CAP_IBM_B,
"8,8 (MINS)",SW_24,SW_CAP_IBM_B,
"4,3 (X)",SW_56,SW_CAP_IBM_B,
"6,5 (Y)",SW_34,SW_CAP_IBM_B,
"9,7 (XTRA)",SW_27,SW_CAP_IBM_B,
"8,7 (PLUS)",SW_25,SW_CAP_IBM_B,
"C,3 (P16)",SW_87,SW_CAP_IBM_B,
"3,3 (LSFT)",SW_54,SW_CAP_IBM_B,
"8,1 (RALT)",SW_69,SW_CAP_IBM_B,
"5,6 (T)",SW_33,SW_CAP_IBM_B,
"5,3 (V)",SW_58,SW_CAP_IBM_B,
MountingHole,H12,Generic-Mounthole_4.6mm,
"5,7 (06)",SW_19,SW_CAP_IBM_B,
"1,5 (F3)",SW_03,SW_CAP_IBM_B,
"9,2 (RCTL)",SW_70,SW_CAP_IBM_B,
"5,4 (G)",SW_47,SW_CAP_IBM_B,
MountingHole,H6,Generic-Mounthole_4.6mm,
"B,4 (P14)",SW_85,SW_CAP_IBM_B,
"2,2 (F10)",SW_10,SW_CAP_IBM_B,
"3,4 (S)",SW_44,SW_CAP_IBM_B,
"1,6 (F4)",SW_04,SW_CAP_IBM_B,
"1,7 (F1)",SW_01,SW_CAP_IBM_B,
"7,1 (DOT)",SW_63,SW_CAP_IBM_B,
"A,2 (P21)",SW_92,SW_CAP_IBM_B,
"4,6 (E)",SW_31,SW_CAP_IBM_B,
"2,4 (F8)",SW_08,SW_CAP_IBM_B,
"8,2 (SLSH)",SW_64,SW_CAP_IBM_B,
"2,3 (CAPS)",SW_42,SW_CAP_IBM_B,
MountingHole,H9,Generic-Mounthole_4.6mm,
C4_TestPoint,COL_4_TP12,TestPoint_Pad_D1.0mm,
CB_TestPoint,COL_B_TP19,TestPoint_Pad_D1.0mm,
"C,4 (P12)",SW_83,SW_CAP_IBM_B,
"5,8 (05)",SW_18,SW_CAP_IBM_B,
"2,5 (F6)",SW_06,SW_CAP_IBM_B,
"3,6 (W)",SW_30,SW_CAP_IBM_B,
C3_TestPoint,COL_3_TP11,TestPoint_Pad_D1.0mm,
MountingHole,H11,Generic-Mounthole_4.6mm,
R8_TestPoint,ROW_8_TP8,TestPoint_Pad_D1.0mm,
C6_TestPoint,COL_6_TP14,TestPoint_Pad_D1.0mm,
MountingHole,H8,Generic-Mounthole_4.6mm,
"A,8 (P01)",SW_72,SW_CAP_IBM_B,
"6,2 (N)",SW_60,SW_CAP_IBM_B,
"A,5 (P13)",SW_84,SW_CAP_IBM_B,
"2,6 (TAB)",SW_28,SW_CAP_IBM_B,
"9,8 (BACK)",SW_26,SW_CAP_IBM_B,
"B,2 (P19)",SW_90,SW_CAP_IBM_B,
"7,3 (L)",SW_51,SW_CAP_IBM_B,
"C,8 (P03)",SW_74,SW_CAP_IBM_B,
"A,1 (P22)",SW_93,SW_CAP_IBM_B,
"9,6 (RBRC)",SW_40,SW_CAP_IBM_B,
"8,6 (LBRC)",SW_39,SW_CAP_IBM_B,
R4_TestPoint,ROW_4_TP4,TestPoint_Pad_D1.0mm,
"5,2 (B)",SW_59,SW_CAP_IBM_B,
C8_TestPoint,COL_8_TP16,TestPoint_Pad_D1.0mm,
"9,3 (RSFT)",SW_65,SW_CAP_IBM_B,
"6,4 (H)",SW_48,SW_CAP_IBM_B,
"4,5 (R)",SW_32,SW_CAP_IBM_B,
"C,1 (P24)",SW_95,SW_CAP_IBM_B,
R6_TestPoint,ROW_6_TP6,TestPoint_Pad_D1.0mm,
MountingHole,H4,Generic-Mounthole_4.6mm,
R7_TestPoint,ROW_7_TP7,TestPoint_Pad_D1.0mm,
"A,6 (P09)",SW_80,SW_CAP_IBM_B,
"7,2 (COM)",SW_62,SW_CAP_IBM_B,
"A,3 (P18)",SW_89,SW_CAP_IBM_B,
"4,8 (03)",SW_16,SW_CAP_IBM_B,
C5_TestPoint,COL_5_TP13,TestPoint_Pad_D1.0mm,
R3_TestPoint,ROW_3_TP3,TestPoint_Pad_D1.0mm,
"A,4 (P17)",SW_88,SW_CAP_IBM_B,
"6,7 (08)",SW_21,SW_CAP_IBM_B,
"4,7 (04)",SW_17,SW_CAP_IBM_B,
R1_TestPoint,ROW_1_TP1,TestPoint_Pad_D1.0mm,
"3,7 (Q)",SW_29,SW_CAP_IBM_B,
MountingHole,H2,Generic-Mounthole_4.6mm,
"2,1 (F12)",SW_12,SW_CAP_IBM_B,
R5_TestPoint,ROW_5_TP5,TestPoint_Pad_D1.0mm,
CC_TestPoint,COL_C_TP20,TestPoint_Pad_D1.0mm,
"7,5 (I)",SW_36,SW_CAP_IBM_B,
"5,1 (SPC)",SW_68,SW_CAP_IBM_B,
"3,1 (LCTL)",SW_66,SW_CAP_IBM_B,
C1_TestPoint,COL_1_TP9,TestPoint_Pad_D1.0mm,
CONN_CAP_IBM_F,J1,CONN_CAP_IBM_F,
"4,1 (LALT)",SW_67,SW_CAP_IBM_B,
"7,8 (09)",SW_22,SW_CAP_IBM_B,
"B,6 (P10)",SW_81,SW_CAP_IBM_B,
"3,5 (A)",SW_43,SW_CAP_IBM_B,
"1,8 (F2)",SW_02,SW_CAP_IBM_B,
"6,3 (J)",SW_49,SW_CAP_IBM_B,
"C,6 (P07)",SW_78,SW_CAP_IBM_B,
